2024-10-24 15:05:33,154 - INFO - Starting contact tracking system...
2024-10-24 15:07:57,014 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:07:57,535 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:07:59,056 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:07:59,576 - INFO - Tracking teddy at (3, 9)
2024-10-24 15:08:01,099 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:08:01,619 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:03,141 - INFO - Tracking ruby at (5, 1)
2024-10-24 15:08:03,657 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:05,179 - INFO - Tracking ruby at (5, 0)
2024-10-24 15:08:05,697 - INFO - Tracking teddy at (3, 8)
2024-10-24 15:08:07,215 - INFO - Tracking ruby at (6, 0)
2024-10-24 15:08:07,731 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:09,251 - INFO - Tracking ruby at (7, 0)
2024-10-24 15:08:09,769 - INFO - Tracking teddy at (5, 7)
2024-10-24 15:08:11,288 - INFO - Tracking ruby at (6, 1)
2024-10-24 15:08:11,808 - INFO - Tracking teddy at (4, 6)
2024-10-24 15:08:13,331 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:08:13,851 - INFO - Tracking teddy at (5, 7)
2024-10-24 15:08:15,373 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:08:15,894 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:17,412 - INFO - Tracking ruby at (5, 2)
2024-10-24 15:08:17,924 - INFO - Tracking teddy at (5, 9)
2024-10-24 15:08:19,444 - INFO - Tracking ruby at (6, 3)
2024-10-24 15:08:19,964 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:21,487 - INFO - Tracking ruby at (6, 4)
2024-10-24 15:08:21,996 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:23,517 - INFO - Tracking ruby at (6, 4)
2024-10-24 15:08:24,036 - INFO - Tracking teddy at (5, 8)
2024-10-24 15:08:25,559 - INFO - Tracking ruby at (6, 5)
2024-10-24 15:08:26,071 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:27,594 - INFO - Tracking ruby at (6, 5)
2024-10-24 15:08:28,111 - INFO - Tracking teddy at (3, 9)
2024-10-24 15:08:29,626 - INFO - Tracking ruby at (5, 6)
2024-10-24 15:08:30,148 - INFO - Tracking teddy at (2, 9)
2024-10-24 15:08:31,669 - INFO - Tracking ruby at (5, 6)
2024-10-24 15:08:32,188 - INFO - Tracking teddy at (3, 8)
2024-10-24 15:08:33,707 - INFO - Tracking ruby at (6, 6)
2024-10-24 15:08:34,228 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:35,750 - INFO - Tracking ruby at (7, 5)
2024-10-24 15:08:36,258 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:37,783 - INFO - Tracking ruby at (8, 6)
2024-10-24 15:08:38,300 - INFO - Tracking teddy at (3, 8)
2024-10-24 15:08:39,818 - INFO - Tracking ruby at (8, 7)
2024-10-24 15:08:40,328 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:41,862 - INFO - Tracking ruby at (9, 8)
2024-10-24 15:08:42,383 - INFO - Tracking teddy at (3, 7)
2024-10-24 15:08:42,895 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:43,408 - INFO - Tracking teddy at (4, 8)
2024-10-24 15:08:44,931 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:45,451 - INFO - Tracking teddy at (4, 9)
2024-10-24 15:08:46,970 - INFO - Tracking ruby at (8, 9)
2024-10-24 15:08:47,491 - INFO - Tracking teddy at (5, 9)
2024-10-24 15:08:49,013 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:49,520 - INFO - Tracking teddy at (6, 8)
2024-10-24 15:08:51,041 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:51,556 - INFO - Tracking teddy at (5, 9)
2024-10-24 15:08:53,078 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:53,590 - INFO - Tracking teddy at (6, 9)
2024-10-24 15:08:55,110 - INFO - Tracking ruby at (9, 9)
2024-10-24 15:08:55,625 - INFO - Tracking teddy at (5, 8)
2024-10-24 15:08:57,147 - INFO - Tracking ruby at (8, 9)
2024-10-24 15:08:57,663 - INFO - Tracking teddy at (5, 9)
2024-10-24 15:08:59,185 - INFO - Tracking ruby at (7, 9)
2024-10-24 15:08:59,701 - INFO - Tracking teddy at (6, 9)
2024-10-24 15:09:01,223 - INFO - Tracking ruby at (8, 9)
2024-10-24 15:09:01,741 - INFO - Tracking teddy at (7, 9)
2024-10-24 15:09:03,263 - INFO - Tracking ruby at (9, 8)
2024-10-24 15:09:03,780 - INFO - Tracking teddy at (8, 8)
2024-10-24 15:09:05,301 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:05,822 - INFO - Tracking teddy at (9, 7)
2024-10-24 15:09:05,823 - INFO - Contact detected: teddy with ruby
2024-10-24 15:09:07,357 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:07,358 - INFO - Contact detected: ruby with teddy
2024-10-24 15:09:07,884 - INFO - Tracking teddy at (8, 8)
2024-10-24 15:09:09,409 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:09,916 - INFO - Tracking teddy at (7, 8)
2024-10-24 15:09:11,439 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:11,959 - INFO - Tracking teddy at (8, 7)
2024-10-24 15:09:13,480 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:14,000 - INFO - Tracking teddy at (8, 6)
2024-10-24 15:09:15,521 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:16,039 - INFO - Tracking teddy at (8, 7)
2024-10-24 15:09:17,562 - INFO - Tracking ruby at (9, 8)
2024-10-24 15:09:18,073 - INFO - Tracking teddy at (9, 8)
2024-10-24 15:09:18,073 - INFO - Contact detected: teddy with ruby
2024-10-24 15:09:19,609 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:20,123 - INFO - Tracking teddy at (8, 7)
2024-10-24 15:09:21,643 - INFO - Tracking ruby at (9, 7)
2024-10-24 15:09:22,151 - INFO - Tracking teddy at (8, 6)
2024-10-24 15:09:23,674 - INFO - Tracking ruby at (8, 7)
2024-10-24 15:09:24,192 - INFO - Tracking teddy at (9, 6)
2024-10-24 15:09:25,712 - INFO - Tracking ruby at (7, 6)
2024-10-24 15:09:26,223 - INFO - Tracking teddy at (9, 6)
2024-10-24 15:09:27,743 - INFO - Tracking ruby at (7, 7)
